Date,Open,High,Low,Close
02/24/2021,"33.9579","34.2684","33.8085","34.1355"
02/25/2021,"34.1299","34.3670","33.9701","34.1523"
02/26/2021,"34.1551","34.2290","33.7473","33.8662"
03/01/2021,"33.8746","33.9476","33.5189","33.8017"
03/02/2021,"33.7989","33.8546","33.4298","33.7902"
03/03/2021,"33.7986","33.9729","33.4457","33.5941"
03/04/2021,"33.6025","33.8213","33.1960","33.2265"
03/05/2021,"33.2210","33.4464","32.9685","33.1791"
03/08/2021,"33.1931","33.2348","32.9870","32.9925"
03/09/2021,"32.9953","33.2312","32.8911","33.1485"
03/10/2021,"33.1401","33.2070","32.8275","33.1044"
03/11/2021,"33.1072","33.4520","33.0072","33.2626"
03/12/2021,"33.2654","33.3156","32.9989","33.2878"
03/15/2021,"33.2933","33.2933","32.8410","32.9879"
03/16/2021,"32.9851","33.2794","32.8410","33.0295"
03/17/2021,"33.0323","33.2626","32.8690","33.2432"
03/18/2021,"33.2404","33.3908","33.0266","33.1903"
03/19/2021,"33.1847","33.2376","32.8469","33.0406"
03/22/2021,"33.1571","33.2237","32.8552","33.1127"
03/23/2021,"33.1100","33.2209","32.8496","32.8852"
03/24/2021,"32.8824","33.2916","32.7992","33.1369"
03/25/2021,"33.1397","33.2635","32.8700","32.8846"
03/26/2021,"32.8818","33.2016","32.7976","33.0864"
03/29/2021,"33.1678","33.1959","32.7920","33.0051"
03/30/2021,"32.9995","33.0303","32.5078","32.6277"
03/31/2021,"32.6333","32.9237","32.4487","32.6667"
04/01/2021,"32.6723","32.9939","32.5133","32.9154"
04/02/2021,"32.9209","33.1790","32.6854","32.9882"
04/05/2021,"32.9995","33.0892","32.6271","33.0160"
04/06/2021,"33.0188","33.1593","32.7353","33.0622"
04/07/2021,"33.0650","33.4915","32.9268","33.1865"
04/08/2021,"33.1753","33.4634","33.0371","33.3095"
04/09/2021,"33.2983","33.3781","33.0510","33.2647"
04/12/2021,"33.2619","33.5478","33.0650","33.4146"
04/13/2021,"33.4090","33.7376","33.1151","33.6407"
